function_or_program_or_project_or_activity_a,function_or_program_or_project_or_activity_b,appropriation,allotment,obligation,balance_of_appropriation,balance_of_allotments
Nutrition Congress-GO/Nutrition-240319,Maintenance and Other Operating Expenses,875,875,0,0,875
Emergency Rescue Operation on Local Disasters-PDMC-240321,Emergency Rescue Operation on Local Disasters-PDMC-240321,1678.82,1678.82,0,0,1678.82
Emergency Rescue Operation on Local Disasters-PDMC-240321,Maintenance and Other Operating Expenses,1678.82,1678.82,0,0,1678.82
Meetings with MSWDOS/RRSC-MSWDO/GO/NGOS-240322,Meetings with MSWDOS/RRSC-MSWDO/GO/NGOS-240322,2700,2700,0,0,2700
Meetings with MSWDOS/RRSC-MSWDO/GO/NGOS-240322,Maintenance and Other Operating Expenses,2700,2700,0,0,2700
Replenishment of Stockpile-PSWDO-240323,Replenishment of Stockpile-PSWDO-240323,7170,7170,0,0,7170
Replenishment of Stockpile-PSWDO-240323,Maintenance and Other Operating Expenses,7170,7170,0,0,7170
Skills Training and Livelihood Assistance-PSWDO-240325,Skills Training and Livelihood Assistance-PSWDO-240325,6791,6791,0,0,6791
Skills Training and Livelihood Assistance-PSWDO-240325,Maintenance and Other Operating Expenses,6791,6791,0,0,6791
Integrated Social Services and Livelihood Development Projects (GO/RR/LBL/KKPOI/FP)-240326,Integrated Social Services and Livelihood Development Projects (GO/RR/LBL/KKPOI/FP)-240326,6440,6440,0,0,6440
Integrated Social Services and Livelihood Development Projects (GO/RR/LBL/KKPOI/FP)-240326,Maintenance and Other Operating Expenses,6440,6440,0,0,6440
Development and Production of IEC Materials-PSWDO-240327,Development and Production of IEC Materials-PSWDO-240327,65,65,0,0,65
Development and Production of IEC Materials-PSWDO-240327,Maintenance and Other Operating Expenses,65,65,0,0,65
ECCD Project-PSWDO/PSCWC/CWC/MCPCS-240328,ECCD Project-PSWDO/PSCWC/CWC/MCPCS-240328,516141.05,516141.05,0,0,516141.05
ECCD Project-PSWDO/PSCWC/CWC/MCPCS-240328,Maintenance and Other Operating Expenses,516141.05,516141.05,0,0,516141.05
Scholarship Project for the Day Care Worker/Non-Education Graduates with Pre-School Teaching Assignment-SMU/PSWDO-240329,Scholarship Project for the Day Care Worker/Non-Education Graduates with Pre-School Teaching Assignment-SMU/PSWDO-240329,5.5,5.5,0,0,5.5
Scholarship Project for the Day Care Worker/Non-Education Graduates with Pre-School Teaching Assignment-SMU/PSWDO-240329,Maintenance and Other Operating Expenses,5.5,5.5,0,0,5.5
"Youth Empowerment (2 Leadership Training Conducted, 2 Livelihhood Skills Training Conducted, 1 Peer counseling Training Conducted)-PSWDO-240330","Youth Empowerment (2 Leadership Training Conducted, 2 Livelihhood Skills Training Conducted, 1 Peer counseling Training Conducted)-PSWDO-240330",47500,47500,0,0,47500
"Youth Empowerment (2 Leadership Training Conducted, 2 Livelihhood Skills Training Conducted, 1 Peer counseling Training Conducted)-PSWDO-240330",Maintenance and Other Operating Expenses,47500,47500,0,0,47500
Elderlies Welfare and Development Program-(PFSCAP/LBL)-PSWDO-240330,Elderlies Welfare and Development Program-(PFSCAP/LBL)-PSWDO-240330,1412.28,1412.28,0,0,1412.28
Elderlies Welfare and Development Program-(PFSCAP/LBL)-PSWDO-240330,Maintenance and Other Operating Expenses,1412.28,1412.28,0,0,1412.28
Effective Welfare and Development Program-Elderly (PFSAP/LBL)-PSWDO-240331,Effective Welfare and Development Program-Elderly (PFSAP/LBL)-PSWDO-240331,60000,60000,0,0,60000
Effective Welfare and Development Program-Elderly (PFSAP/LBL)-PSWDO-240331,Maintenance and Other Operating Expenses,60000,60000,0,0,60000
Service/Delivery of Subpeona-NBI-240333,Service/Delivery of Subpeona-NBI-240333,60000,60000,0,0,60000
Service/Delivery of Subpeona-NBI-240333,Maintenance and Other Operating Expenses,60000,60000,0,0,60000
Information and Education Campaign Against Drug Abuse (Drug Abuse Prevention and Education Program)-GO/NVPPO/PDEA-240334,Information and Education Campaign Against Drug Abuse (Drug Abuse Prevention and Education Program)-GO/NVPPO/PDEA-240334,100000,100000,0,0,100000
Information and Education Campaign Against Drug Abuse (Drug Abuse Prevention and Education Program)-GO/NVPPO/PDEA-240334,Maintenance and Other Operating Expenses,100000,100000,0,0,100000
Surveilance and Test Buy/Buy Bust Operation-GO/NVPPO/PDEA/CDIG-240335,Surveilance and Test Buy/Buy Bust Operation-GO/NVPPO/PDEA/CDIG-240335,100000,100000,0,0,100000
Surveilance and Test Buy/Buy Bust Operation-GO/NVPPO/PDEA/CDIG-240335,Maintenance and Other Operating Expenses,100000,100000,0,0,100000
Firearms Proficiency and Markmanship Training-GO/NVPPO/NBI-240336,Firearms Proficiency and Markmanship Training-GO/NVPPO/NBI-240336,50000,50000,0,0,50000
Firearms Proficiency and Markmanship Training-GO/NVPPO/NBI-240336,Maintenance and Other Operating Expenses,50000,50000,0,0,50000
Economic Sector-2404 Agriculture-240401 Exotic Fruit Tree and Vegetable Seedlings-24040101,Economic Sector-2404 Agriculture-240401 Exotic Fruit Tree and Vegetable Seedlings-24040101,17600.94,17600.94,0,0,17600.94
Economic Sector-2404 Agriculture-240401 Exotic Fruit Tree and Vegetable Seedlings-24040101,Maintenance and Other Operating Expenses,17600.94,17600.94,0,0,17600.94
Vegetable Development (Organic vegetable)-24040102,Vegetable Development (Organic vegetable)-24040102,16.45,16.45,0,0,16.45
Vegetable Development (Organic vegetable)-24040102,Maintenance and Other Operating Expenses,16.45,16.45,0,0,16.45
Rice Seed Subsidy Assistance-24040103,Rice Seed Subsidy Assistance-24040103,721237.26,721237.26,699600,0,21637.26
Rice Seed Subsidy Assistance-24040103,Maintenance and Other Operating Expenses,721237.26,721237.26,699600,0,21637.26
Balik-Igat and Other Species-24040104,Balik-Igat and Other Species-24040104,72000,72000,0,0,72000
Balik-Igat and Other Species-24040104,Maintenance and Other Operating Expenses,72000,72000,0,0,72000
Tilapia Hatchery Project-24040105,Tilapia Hatchery Project-24040105,100000,100000,0,0,100000
Tilapia Hatchery Project-24040105,Maintenance and Other Operating Expenses,100000,100000,0,0,100000
"Fingerling Production at Polloc, Fresh Water Fish Farm-24040106","Fingerling Production at Polloc, Fresh Water Fish Farm-24040106",18312.7,18312.7,12775,0,5537.7
"Fingerling Production at Polloc, Fresh Water Fish Farm-24040106",Maintenance and Other Operating Expenses,18312.7,18312.7,12775,0,5537.7
Operation and Maintenance of NVFITS-24040107,Operation and Maintenance of NVFITS-24040107,0.15,0.15,0,0,0.15
Operation and Maintenance of NVFITS-24040107,Maintenance and Other Operating Expenses,0.15,0.15,0,0,0.15
Establishment of Integrated Provincial Techno Demo Farm-24040108,Establishment of Integrated Provincial Techno Demo Farm-24040108,6633.82,6633.82,0,0,6633.82
Establishment of Integrated Provincial Techno Demo Farm-24040108,Maintenance and Other Operating Expenses,6633.82,6633.82,0,0,6633.82
Farm to Market road-24040108,Farm toMarket road-24040108,2716.73,2716.73,0,0,2716.73
Farm to Market road-24040108,Maintenance and Other Operating Expenses,2716.73,2716.73,0,0,2716.73
Livestock-240402 Swine Upgrading Project-24040201,Livestock-240402 Swine Upgrading Project-24040201,25170,25170,0,0,25170
Livestock-240402 Swine Upgrading Project-24040201,Maintenance and Other Operating Expenses,25170,25170,0,0,25170
Small Ruminants Upgrading Project-24040202,Small Ruminants Upgrading Project-24040202,8670,8670,0,0,8670
Small Ruminants Upgrading Project-24040202,Maintenance and Other Operating Expenses,8670,8670,0,0,8670
Carabao and Cattle Upgrading Project-24040203,Carabao and Cattle Upgrading Project-24040203,1400,1400,0,0,1400
Carabao and Cattle Upgrading Project-24040203,Maintenance and Other Operating Expenses,1400,1400,0,0,1400
Range-Dual Type Poultry Production Project-24040204,Range-Dual Type Poultry Production Project-24040204,31227,31227,0,0,31227
Range-Dual Type Poultry Production Project-24040204,Maintenance and Other Operating Expenses,31227,31227,0,0,31227
Small Ruminants Upgrading Project-24040205,Small Ruminants Upgrading Project-24040205,4000,4000,0,0,4000
Small Ruminants Upgrading Project-24040205,Maintenance and Other Operating Expenses,4000,4000,0,0,4000
Dairy Development Project-24040206,Dairy Development Project-24040206,2000,2000,0,0,2000
Dairy Development Project-24040206,Maintenance and Other Operating Expenses,2000,2000,0,0,2000
Maintenance of Animak Health and Extension Service Project-24040208,Maintenance of Animak Health and Extension Service Project-24040208,2976.75,2976.75,0,0,2976.75
Maintenance of Animak Health and Extension Service Project-24040208,Maintenance and Other Operating Expenses,2976.75,2976.75,0,0,2976.75
Rabies Prevention and Control Project-24040210,Rabies Prevention and Control Project-24040210,3059.32,3059.32,0,0,3059.32
Rabies Prevention and Control Project-24040210,Maintenance and Other Operating Expenses,3059.32,3059.32,0,0,3059.32
Bird Flu Preparedness and Response Project-24040210,Bird Flu Preparedness and Response Project-24040210,24433.57,24433.57,0,0,24433.57
Bird Flu Preparedness and Response Project-24040210,Maintenance and Other Operating Expenses,24433.57,24433.57,0,0,24433.57
Cooperative (PCAO)-240403 Improve Business/Industrial Planning and Development Project-24040303,Cooperative (PCAO)-240403 Improve Business/Industrial Planning and Development Project-24040303,400,400,0,0,400
Cooperative (PCAO)-240403 Improve Business/Industrial Planning and Development Project-24040303,Maintenance and Other Operating Expenses,400,400,0,0,400
Adequate Skills on Enterprise Management Project-24040304,Adequate Skills on Enterprise Management Project-24040304,4100,4100,0,0,4100
Adequate Skills on Enterprise Management Project-24040304,Maintenance and Other Operating Expenses,4100,4100,0,0,4100
Tourism-240404 Kultura sa Vizcaya Project-24040402,Tourism-240404 Kultura sa Vizcaya Project-24040402,65,65,0,0,65
Tourism-240404 Kultura sa Vizcaya Project-24040402,Maintenance and Other Operating Expenses,65,65,0,0,65
Museo Eskwela Project-24040403,Museo Eskwela Project-24040403,450,450,0,0,450
Museo Eskwela Project-24040403,Maintenance and Other Operating Expenses,450,450,0,0,450
Production if Printed Promotional Materials Project-24040404,Production if Printed Promotional Materials Project-24040404,110,110,0,0,110
Production if Printed Promotional Materials Project-24040404,Maintenance and Other Operating Expenses,110,110,0,0,110
Visit Vizcaya Project-24040405,Visit Vizcaya Project-24040405,25600,25600,0,0,25600
Visit Vizcaya Project-24040405,Maintenance and Other Operating Expenses,25600,25600,0,0,25600
Eco Challenge Project-24040406,Eco Challenge Project-24040406,3465,3465,0,0,3465
Eco Challenge Project-24040406,Maintenance and Other Operating Expenses,3465,3465,0,0,3465
Environment-2405 Provincial Ecological Waste Management-240501,Environment-2405 Provincial Ecological Waste Management-240501,11626.41,11626.41,0,0,11626.41
Environment-2405 Provincial Ecological Waste Management-240501,Maintenance and Other Operating Expenses,11626.41,11626.41,0,0,11626.41
Provincial Solid Waste Management Council Operation-240502,Provincial Solid Waste Management Council Operation-240502,300,300,0,0,300
Provincial Solid Waste Management Council Operation-240502,Maintenance and Other Operating Expenses,300,300,0,0,300
Assistence to Municipalities Solid Waste Management Program-240503,Assistence to Municipalities Solid Waste Management Program-240503,91199.6,76499.6,0,14700,76499.6
Assistence to Municipalities Solid Waste Management Program-240503,Maintenance and Other Operating Expenses,91199.6,76499.6,0,14700,76499.6
Establishment of Capitol Composting Facility at the Provincial Nursery (Waste Utilization)-240504,Establishment of Capitol Composting Facility at the Provincial Nursery (Waste Utilization)-240504,283118.88,283118.88,0,0,283118.88
Establishment of Capitol Composting Facility at the Provincial Nursery (Waste Utilization)-240504,Maintenance and Other Operating Expenses,283118.88,283118.88,0,0,283118.88
Capability Building on Household and Agriculture Solid Waste Management in NV-240505,Capability Building on Household and Agriculture Solid Waste Management in NV-240505,68800,28800,0,40000,28800
Capability Building on Household and Agriculture Solid Waste Management in NV-240505,Maintenance and Other Operating Expenses,68800,28800,0,40000,28800
(Alliaga ) Community based Reforestation Project-240506,(Alliaga ) Community based Reforestation Project-240506,6610.31,6610.31,0,0,6610.31
(Alliaga ) Community based Reforestation Project-240506,Maintenance and Other Operating Expenses,6610.31,6610.31,0,0,6610.31
Establishment Respository of Economically Indigenous and Endangered Tree Species in Decleared Areas for Biodiversity Conservation and Environmental Restoration (Bangan Hill)-240508,Establishment Respository of Economically Indigenous and Endangered Tree Species in Decleared Areas for Biodiversity Conservation and Environmental Restoration (Bangan Hill)-240508,2633.6,2633.6,0,0,2633.6
Establishment Respository of Economically Indigenous and Endangered Tree Species in Decleared Areas for Biodiversity Conservation and Environmental Restoration (Bangan Hill)-240508,Maintenance and Other Operating Expenses,2633.6,2633.6,0,0,2633.6
Tree for Legacy-240509,Tree for Legacy-240509,2024.04,2024.04,0,0,2024.04
Tree for Legacy-240509,Maintenance and Other Operating Expenses,2024.04,2024.04,0,0,2024.04
(Balete) Reforestation Project-240510,(Balete) Reforestation Project-240510,19815.51,19815.51,0,0,19815.51
(Balete) Reforestation Project-240510,Maintenance and Other Operating Expenses,19815.51,19815.51,0,0,19815.51
Establishment of Boho Plantation-240511,Establishment of Boho Plantation-240511,2150,2150,0,0,2150
Establishment of Boho Plantation-240511,Maintenance and Other Operating Expenses,2150,2150,0,0,2150
Roadside Tree Planting Project in Selected Sections of the National Highways NAD Provincial Roads of NV-240512,Roadside Tree Planting Project in Selected Sections of the National Highways NAD Provincial Roads of NV-240512,2367.48,2367.48,0,0,2367.48
Roadside Tree Planting Project in Selected Sections of the National Highways NAD Provincial Roads of NV-240512,Maintenance and Other Operating Expenses,2367.48,2367.48,0,0,2367.48
Bamboo Production and Plantation Project (Riverbank)-240514,Bamboo Production and Plantation Project (Riverbank)-240514,4390,4390,0,0,4390
Bamboo Production and Plantation Project (Riverbank)-240514,Maintenance and Other Operating Expenses,4390,4390,0,0,4390
DBP-PLGU Reforestation Project-240515,DBP-PLGU Reforestation Project-240515,397.6,397.6,0,0,397.6
DBP-PLGU Reforestation Project-240515,Maintenance and Other Operating Expenses,397.6,397.6,0,0,397.6
Protection and Management of Barobbob Watershed-240516,Protection and Management of Barobbob Watershed-240516,1341.38,637.18,0,704.2,637.18
Protection and Management of Barobbob Watershed-240516,Maintenance and Other Operating Expenses,1341.38,637.18,0,704.2,637.18
Provincial Nursery Operation-240517,Provincial Nursery Operation-240517,449.46,449.46,0,0,449.46
Provincial Nursery Operation-240517,Maintenance and Other Operating Expenses,449.46,449.46,0,0,449.46
Provincial Council for Sustainable Development (Search)-240518,Provincial Council for Sustainable Development (Search)-240518,60.5,60.5,0,0,60.5
Provincial Council for Sustainable Development (Search)-240518,Maintenance and Other Operating Expenses,60.5,60.5,0,0,60.5
ISF/CBFM - 240519,ISF/CBFM - 240519,209,209,0,0,209
ISF/CBFM - 240519,Maintenance and Other Operating Expenses,209,209,0,0,209
Lower Magat Forest Reserve Project (Allocation of Oprn Acces Areas)-240520,Lower Magat Forest Reserve Project (Allocation of Oprn Acces Areas)-240520,1406.03,1406.03,0,0,1406.03
Lower Magat Forest Reserve Project (Allocation of Oprn Acces Areas)-240520,Maintenance and Other Operating Expenses,1406.03,1406.03,0,0,1406.03
Mobilizing Upland Communities for Forest Development (Phase II)-240521,Mobilizing Upland Communities for Forest Development (Phase II)-240521,494.5,494.5,0,0,494.5
Mobilizing Upland Communities for Forest Development (Phase II)-240521,Maintenance and Other Operating Expenses,494.5,494.5,0,0,494.5
