program_or_project,activity,code,appropriation,allotment,appropriation_balance,obligation,allotment_balance
CEO- Motorpool Division- Maintenance and Other Operating Expenses,Repair and Maintenance - Motor Vehicles,841,100000,100000,-,91779,8221
CEO- Motorpool Division- Maintenance and Other Operating Expenses,"Repair and Maintenance - Water Treatment Facilities at Motorpool Compound, Tipaz, Mag. East (Reference number:0092-02-12)",854,100000,100000,-,71210,28790
CEO- Motorpool Division- Capital Outlay,-,-,1626658.24,1626658.24,-,1554072,72586.24
CEO- Motorpool Division- Capital Outlay,Construction and Heavy Equipment,230,-,-,-,-,-
CEO- Motorpool Division- Capital Outlay,Construction and Heavy Equipment- Lathe Machine,-,-,-,-,-,-
CEO- Motorpool Division- Capital Outlay,Development of Motorpool,215,1626658.24,1626658.24,-,1554072,72586.24
CEO- Motorpool Division- Capital Outlay,"Fab. Or Installation of Band Saw and Welding Shop, Motorpool, Brgy. East (Reference number: 0091-02-12)",-,-,1500000,-,1498793,1207
CEO- Motorpool Division- Capital Outlay,"Development of Motorpool, Motorpool, Brgy. East (Reference number: 0177-05-12)",-,-,126658.24,-,55279,71379.24
CEO- Building and Industrial Safety Division,-,8756,2295248,2295248,-,2221639.27,73608.73
CEO- Building and Industrial Safety Division- Personal Services,-,-,2098548,2098548,-,2087655.78,10892.22
CEO- Building and Industrial Safety Division- Personal Services,Salaries and Wages-Regular,701,1584186,1584186,-,1576821.02,7364.98
CEO- Building and Industrial Safety Division- Personal Services,PERA,711,114000,114000,-,112000,2000
CEO- Building and Industrial Safety Division- Personal Services,Clothing Allowance,715,16000,16000,-,16000,-
CEO- Building and Industrial Safety Division- Personal Services,Cash Gift,724,25000,25000,-,25000,-
CEO- Building and Industrial Safety Division- Personal Services,Year- End Bonus,725,139634,139634,-,138976,658
CEO- Building and Industrial Safety Division- Personal Services,Life and Retirement Insurance,731,190103,190103,-,189233.76,869.24
CEO- Building and Industrial Safety Division- Personal Services,PAG-IBIG Contributions,732,5700,5700,-,5700,-
CEO- Building and Industrial Safety Division- Personal Services,PHILHEALTH Contributions,733,18225,18225,-,18225,-
CEO- Building and Industrial Safety Division- Personal Services,ECC Contributions,734,5700,5700,-,5700,-
CEO- Building and Industrial Safety Division- Maintenance and Other Operating Expenses,-,-,196700,196700,-,133983.49,62716.51
CEO- Building and Industrial Safety Division- Maintenance and Other Operating Expenses,Gasoline Expenses,761,180000,180000,-,126362.25,53637.75
CEO- Building and Industrial Safety Division- Maintenance and Other Operating Expenses,Postage and Deliveries,771,5000,5000,-,115,4885
CEO- Building and Industrial Safety Division- Maintenance and Other Operating Expenses,Telephone Expense-Landline,772,7600,7600,-,7506.24,93.76
CEO- Building and Industrial Safety Division- Maintenance and Other Operating Expenses,"Membership, Dues and Contribution to Organization",778,4100,4100,-,-,4100
CEO- Industrial Plant Division,-,8757,5275313.14,5275313.14,-,4996417.06,278896.08
CEO- Industrial Plant Division- Personal Services,-,-,3573313.14,3573313.14,-,3522278.29,51034.85
CEO- Industrial Plant Division- Personal Services,Salaries and Wages-Regular,701,1352169,1352169,-,1339546.64,12622.36
CEO- Industrial Plant Division- Personal Services,Salaries and Wages-Casual,705,1048993.2,1048993.2,-,1038116.32,10876.88
CEO- Industrial Plant Division- Personal Services,PERA,711,122000,122000,-,120000,2000
CEO- Industrial Plant Division- Personal Services,Clothing Allowance,715,24000,24000,-,20000,4000
CEO- Industrial Plant Division- Personal Services,Overtime and Night Pay,723,700000,700000,-,682653.21,17346.79
CEO- Industrial Plant Division- Personal Services,Cash Gift,724,25000,25000,-,25000,-
CEO- Industrial Plant Division- Personal Services,Year- End Bonus,725,111528,111528,-,110624,904
CEO- Industrial Plant Division- Personal Services,Life and Retirement Insurance,731,162260.44,162260.44,-,159338.12,2922.32
CEO- Industrial Plant Division- Personal Services,PAG-IBIG Contributions,732,6100,6100,-,6000,100
CEO- Industrial Plant Division- Personal Services,PHILHEALTH Contributions,733,15162.5,15162.5,-,15000,162.5
CEO- Industrial Plant Division- Personal Services,ECC Contributions,734,6100,6100,-,6000,100
CEO- Industrial Plant Division- Maintenance and Other Operating Expenses,-,-,712000,712000,-,484138.77,227861.23
CEO- Industrial Plant Division- Maintenance and Other Operating Expenses,Gasoline Expenses,761,264000,264000,-,97674.18,166325.82
CEO- Industrial Plant Division- Maintenance and Other Operating Expenses,Telephone Expense-Landline,772,6000,6000,-,1377.6,4622.4
CEO- Industrial Plant Division- Maintenance and Other Operating Expenses,"Membership, Dues and Contribution to Organization",778,2000,2000,-,-,2000
CEO- Industrial Plant Division- Maintenance and Other Operating Expenses,"Repairs and Maintenance - Asphalt Plant at Motorpool Completion Tipaz, Mag. East (Reference number: 042-01-12)",815,440000,440000,-,385086.99,54913.01
CEO- Industrial Plant Division- Capital Outlay,-,-,990000,990000,-,990000,-
CEO- Industrial Plant Division- Capital Outlay,Other Machineries and Equipment- Laboratory Equipment,240,990000,990000,-,990000,-
Statutory and Mandatory Obligation- 5% Calamity Fund,-,9919,42662732.97,42662732.97,-,41556758.69,1105974.28
Statutory and Mandatory Obligation- Maintenance and Other Operating Expenses,-,-,12582954.74,12582954.74,-,12582954.74,-
Statutory and Mandatory Obligation- Maintenance and Other Operating Expenses,Other Maintenance and Operating Expenses,969,12211497,12211497,-,12211497,-
Statutory and Mandatory Obligation- Maintenance and Other Operating Expenses,Quick Response Fund,969,371457.74,371457.74,-,371457.74,-
Statutory and Mandatory Obligation- Capital Outlay,-,-,30079778.23,30079778.23,-,28973803.95,1105974.28
Statutory and Mandatory Obligation- Capital Outlay,Construction or Rehabilitation and CHB Lining of Drainage,255,30079778.23,30079778.23,-,28973803.95,1105974.28
Statutory and Mandatory Obligation- Capital Outlay,Brgy. Bincungan (Reference number: 0097-02-12 ),-,-,1000000,-,968565,31435
Statutory and Mandatory Obligation- Capital Outlay,"Infront of Luis Lina E/S, Brgy. Canocotan (Reference number:0106-03-12)",-,-,350000,-,350000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok Café, Brgy. Visayan Village (Reference number: 0107-03-12)",-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,"Cervantes, Brgy. Magugpo South (Reference number: 0108-03-12)",-,-,100000,-,100000,-
Statutory and Mandatory Obligation- Capital Outlay,"Mel Village, Brgy. Visayan Village (Reference number: 0109-03-12)",-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok Macopa, Brgy. Visayan Village (Reference number: 0110-03-12)",-,-,165000,-,165000,-
Statutory and Mandatory Obligation- Capital Outlay,"Magugpo Creek, Brgy. Mag. Poblacion (Reference number: 0111-03-12)",-,-,1000000,-,1000000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok 4 (near Suaybaguio Rina E/S),Brgy. La Filipina(Reference number:0112-03-12)",-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,"Mag. Creek,Corsini to STI(sa Tabing Ilog), Brgy. Magugpo Poblacion ( Reference number: 0113-03-12 )",-,-,1000000,-,1000000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok1 (Highway), Brgy Canocotan (Reference number: 0114-03-12)",-,-,1000000,-,1000000,-
Statutory and Mandatory Obligation- Capital Outlay,"Sison Subd. (Main Road), Brgy. Mag. South (Reference number:0115-03-12)",-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,"Near Brgy. Hall, Brgy.La Filipina ( Reference number: 0116-03-12)",-,-,500000,-,500000,-
Statutory and Mandatory Obligation- Capital Outlay,"City Homes-Tipaz, Brgy. Mag. East (Reference number: 0118-03-12)",-,-,1000000,-,1000000,-
Statutory and Mandatory Obligation- Capital Outlay,Ramos St. (To Bishop Regan Hospital-Left Side) Brgy. Mag. East ( Reference number: 0119-03-12 ),-,-,275000,-,275000,-
Statutory and Mandatory Obligation- Capital Outlay,Rabe Subd. (along Rama Residence)Brgy. Visayan Village Reference number: 0123-03-12,-,-,160000,-,160000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok Sampaguita (Road 3), Brgy. Mag. West (Reference number: 0125-03-12)",-,-,260000,-,260000,-
Statutory and Mandatory Obligation- Capital Outlay,"Timog Road-Purok Pioneer Road (Back of Camella Homes), Brgy. Visayan Village ( Reference number: 0126-03-12 )",-,-,500000,-,500000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok 56 to DANECO Office,Brgy. Mag. East (Reference number: 0136-04-12)",-,-,225000,-,225000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok 6 (Palmera), Brgy. San Isidro (Reference number: 0137-04-12)",-,-,173000,-,173000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok 3D-Abatayo Compound, Brgy San Miguel(Reference number:0138-04-12)",-,-,500000,-,500000,-
Statutory and Mandatory Obligation- Capital Outlay,"Nat'l H-way (Along G-Mall to Conpinco Bldg. to Jollibee Crossing,Brgy. Mag. East ( Reference number: 0139-04-12 )",-,-,750000,-,750000,-
Statutory and Mandatory Obligation- Capital Outlay,"Boundary Purok Cogon, Brgy. San Miguel, Brgy. Visayan Village ( Reference number: 0140-04-12 )",-,-,500000,-,500000,-
Statutory and Mandatory Obligation- Capital Outlay,"Villa Margarita, Brgy. Mankilam (Reference number: 0141-04-12)",-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,"Magugpo Creek, Near Rizal Elem Sch., Brgy. Mag. South Reference number: 0142-04-12",-,-,1000000,-,818401.08,181598.92
Statutory and Mandatory Obligation- Capital Outlay,"Purok 3, Brgy. Busaon ( Reference number: 0149-04-12 )",-,-,500000,-,500000,-
Statutory and Mandatory Obligation- Capital Outlay,"Sitio Talaba, Brgy. Bincungan (Reference number: 0151-04-12)",-,-,2000000,-,2000000,-
Statutory and Mandatory Obligation- Capital Outlay,"Cristo Rey Subd., Brgy. Mag. West (Reference number: 0152-04-12)",-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,Greenland Subd. Brgy. Mankliam (Reference number: 0153-04-12),-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,"Along Bernardo Concepcion Lot to Glorious Property, Brgy. La Filipina ( Reference number: 0154-04-12 )",-,-,1000000,-,1000000,-
Statutory and Mandatory Obligation- Capital Outlay,"Dredging of Madaum River, Brgy. Madaum Reference number: 0133A-03-12",-,-,500000,-,451326.57,48673.43
Statutory and Mandatory Obligation- Capital Outlay,"Purok Pinya, Northeagle, brgy. Visayan Village Reference number: 0163-05-12",-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,"DANECO Subd., Brgy. Mag. East (Reference number: 0165-05-12)",-,-,200000,-,200000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok Garcia-Purok Bautista,, Brgy. Mankilam Reference number: 0169-05-12",-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,"Gazmen Road to Purok Talisay, Brgy. La Filipina Reference number: 0170-05-12",-,-,500000,-,500000,-
Statutory and Mandatory Obligation- Capital Outlay,"Marquez Road (near San Lorenzo Ruiz Academy), Brgy. Apokon ( Reference number: 0173-05-12)",-,-,335000,-,239310,95690
Statutory and Mandatory Obligation- Capital Outlay,"Purok Buli to Cogon, Brgy. Visayan Village Reference number: 0174-05-12",-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok Lemonsito to Purok Garcia, Brgy. Mankilam Reference number: 0183-05-12",-,-,500000,-,500000,-
Statutory and Mandatory Obligation- Capital Outlay,"New City Hall (Hijo River), Brgy. Apokon Reference number: 0184-05-12",-,-,2000000,-,1957726.85,42273.15
Statutory and Mandatory Obligation- Capital Outlay,"Purok Pagbati or Pagmamahal, Brgy. Visayan Village Reference number: 0185-05-12",-,-,100000,-,100000,-
Statutory and Mandatory Obligation- Capital Outlay,"Dredgeing of Madaum River, Brgy. Madaum ( Reference number: 188-05-12 )",-,-,999640,-,934132.9,65507.1
Statutory and Mandatory Obligation- Capital Outlay,"Purok 4 (Back of PNP Sub-Station), Brgy. San Miguel Reference number: 208-06-12",-,-,500000,-,500000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok Sunshine, Brgy. Visayan Village (Reference number: 209-06-12)",-,-,300000,-,300000,-
Statutory and Mandatory Obligation- Capital Outlay,"Liboganon Road, Brgy. Liboganon (Reference number: 096-02-12",-,-,1000000,-,924600.25,75399.75
Statutory and Mandatory Obligation- Capital Outlay,Nat'l H-way Across Brgy Hall(Magdum) (Reference number: 212-07-12),-,-,100000,-,100000,-
Statutory and Mandatory Obligation- Capital Outlay,"St. Therese, Brgy. Cuambogan (Reference number: 213-07-12)",-,-,500000,-,500000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok Durian, Brgy. Mankilam (Reference number:214-07-12)",-,-,200000,-,200000,-
Statutory and Mandatory Obligation- Capital Outlay,"Purok Katipunan, Brgy. Madaum (Reference number: 215-07-12)",-,-,500000,-,500000,-
Statutory and Mandatory Obligation- Capital Outlay,"Desilting of Liboganon River Sitio Talaba, Brgy. Bincungan Reference number: 216-07-12",-,-,400000,-,342025,57975
Statutory and Mandatory Obligation- Capital Outlay,"Purok Magsanoc, Brgy. Mankilam( Reference number: 218-07-12 )",-,-,200000,-,200000,-
Statutory and Mandatory Obligation- Capital Outlay,"Country Homes, Brgy. Mankilam (Reference number: 219-07-12)",-,-,600000,-,600000,-
Statutory and Mandatory Obligation- Capital Outlay,"Nat'l H-way (NBI Office), Brgy. Visayan Village Reference number: 217-07-12",-,-,280000,-,132468,147532
