Project Title,Development Partner,Implementing/ Executing Agency,Grant Amount   (in US$ M),"Utilization
(in US$ M)",Project Start Date,Project Closing Date,Utilization Rate (UR),Time Elapsed (TE),TE-UR (%),Sector,Location,Type,"Financial 
Status","Physical
Status",Last Update,As of Date
Typhoon Haiyan in the Philippines - Emergency Assistance for Displaced People,CIDA,IOM-2014,2.35,,3/28/2014,12/31/2014,,33.81,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Emergency Assistance ,CIDA,UNICEF - United Nations Children's Fund,2.82,,6/3/2014,12/31/2014,,12.8,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Emergency Health Assistance - WHO 2014,CIDA,WHO - World Health Organization,1.13,,3/28/2014,12/31/2014,,33.81,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Coordination of Humanitarian Assistance ,CIDA,OCHA - United Nations Office for the Coordination of Humanitarian Affairs,0.94,,3/14/2014,12/31/2014,,36.99,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Shelter and Assistance to Improve Livelihoods,CIDA,CECI - Centre for International Studies and Cooperation,0.71,,3/26/2014,3/31/2015,,25.95,25.95,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Safe Water and Hygiene - Global Medic and Léger Foundation 2014,CIDA,"Global Medic, David McAntony Gibson Foundation",0.42,,3/28/2014,7/31/2014,,75.2,,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Shelter Assistance ,CIDA,Handicap International Canada,1.55,,3/26/2014,11/30/2014,,38.55,38.55,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Shelter and Livelihoods ,CIDA,HOPE International Development Agency,1.41,,3/26/2014,3/31/2015,,25.95,25.95,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Shelter and Education Assistance,CIDA,Humanity First,0.24,,5/15/2014,3/31/2015,,14.38,14.38,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
Typhoon Haiyan in the Philippines - Shelter and Livelihoods ,CIDA, World Renew,1.32,,3/27/2014,3/31/2015,,25.75,25.75,Social Reform and Community Development,"Region VI, VII, VIII",Emergency/Relief,Ongoing,On Schedule,6/30/2014,6/30/2014
"Development, Publication and Advocacy of the Seventh (7th) Philippine Human Development Report",UNDP,"Human Development Network Foundation, Inc. (UNDP)",0.15,0.1,10-Nov,14-Dec,66.07,89.67,23.6,Social Reform and Community Development,National,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Overseas Filipino Workers/Diaspora Remittances for Development: Building a Future Back Home,UNDP,Commission on Filipinos Overseas (Western Union Foundation),0.2,0.1,10-Dec,14-Dec,47.42,89.46,42.03,Social Reform and Community Development,National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Accelerating Progress on the Millennium Development Goals,UNDP,National Economic and Development Authority - Social Development Staff (UNDP),0.61,0.44,1/1/2012,12/31/2016,71.77,49.89,-21.88,Social Reform and Community Development,National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Localizing Poverty Reduction,UNDP,National Anti-Poverty Commission (UNDP),0.22,0.21,12-Jan,14-Mar,98.25,115.32,17.06,Social Reform and Community Development,National,Mixed,Closed,,6/30/2014,6/30/2014
Philippine Poverty and Environment Initiative Phase 2,UNDP,Department of the Interior and Local Government (UNDP),0.12,0.11,13-Jan,15-Dec,88.57,51.22,-37.35,Social Reform and Community Development,National ,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Joint Migration and Development Initiative: Strengthening the Contribution of Migration to Development by Reinforcing its Local Dimension (JMDI II),UNDP,UNDP (European Commission and Swiss Developmetn Cooperation),9.59,0.1,12-Dec,15-Nov,0.99,54.08,53.09,Social Reform and Community Development,"Philippines, Ecuador, El Salvador, Moldova, Morocco, Tunisia, Egypt, Senegal, Mali, Ghana, Ivory Coast",Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Migration Development Initiatives in Western Visayas (MDI-VI),UNDP,Commission on Filipinos Overseas (SDC),0.25,0,14-Jul,16-Apr,0,-0.16,-0.16,Social Reform and Community Development,Western Visayas,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Empowering Citizens to Deepen Democracy,UNDP,Commission on Human Rights (UNDP),0.44,0.42,1/1/2012,12/31/2016,96.21,49.89,-46.32,Governance and Institutions Development,National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Nurturing a Culture of Human Rights,UNDP,Commission on Human Rights (UNICEF & UNDP),0.43,0.4,1/1/2012,12/31/2016,91.63,49.89,-41.74,Governance and Institutions Development,National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Protecting Indigenous Peoples Rights,UNDP,National Commission on Indigenous Peoples (UNDP & Government of New Zealand),0.23,0.13,1/1/2012,12/31/2016,57.92,49.89,-8.03,Governance and Institutions Development,National,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Making Justice Work for the Marginalized,UNDP,Supreme Court of the Philippines (UNDP),0.23,0.16,1/1/2012,12/31/2016,68.24,49.89,-18.35,Governance and Institutions Development,National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Scaling up response on HIV and AIDS,UNDP,Department of the Interior and Local Government-Local (UNDP & UNAIDS),0.39,0.37,1/1/2012,12/31/2016,94.22,49.89,-44.33,Social Reform and Community Development,,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Developing a Corruption-Intolerant Society,UNDP,Civil Service Commission (UNDP),0.22,0.19,1/1/2012,12/31/2016,85.66,49.89,-35.77,Governance and Institutions Development,National,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Developing a Corruption-Intolerant Society,UNDP,Office of the Ombudsman (UNDP),0.19,0.11,1/1/2012,12/31/2016,59.7,49.89,-9.8,Governance and Institutions Development,National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
"Local Water Governance: Promoting Rights, Instituting Integrity and Enhancing Access to Water through People's Participation",UNDP,Department of the Interior and Local Governance (UNDP),0.29,0.18,1/1/2014,12/31/2016,62.57,16.44,-46.13,Governance and Institutions Development,Mindanao,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Promoting the Rights - and enhancing the participation - of women in the Bangsamoro Peace Consolidation and Development Process (Women in the Bangsamoro),UNDP,Regional Human Rights Commission (UNDP),1.92,0,1/1/2012,12/31/2016,0,49.89,49.89,Governance and Institutions Development,ARMM,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Supporting the Transition to Bangsamoro: Strengthening the Regional Human Rights Infrastructure in the Autonomous Region in Muslim Mindanao (ARMM),UNDP,Regional Human Rights Commission (European Commission and UNDP),1.32,0.41,1/1/2012,12/31/2016,31.43,49.89,18.46,Governance and Institutions Development,ARMM,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Securing a Climate Resilient Philippines ,UNDP,Climate Change Commission (UNDP),0.36,0.2,1/1/2012,12/31/2016,55.14,49.89,-5.25,"Agriculture, Agrarian Reform and Natural Resources",National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
EU-UNDP Low Emission Climate Change Capacity building Development ,UNDP,Climate Change Commission (AUSAID & European Commission),0.89,0.32,11-Jun,14-Dec,35.76,87.96,52.2,"Agriculture, Agrarian Reform and Natural Resources",National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Enabling CDO & Iligan Cities of CDO and Iligan to cope with climate change (Twin Phoenix),UNDP,Climate Change Commission (AUSAID),2.75,1.38,12-Mar,15-Dec,50.2,62.12,11.92,"Agriculture, Agrarian Reform and Natural Resources",,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Project ReBUILD: Resilience Capacity Building for Cities ,UNDP,Climate Change Commission (Government of New Zealand),1.29,0.74,12-Jan,15-Jun,57.46,73.06,15.59,"Agriculture, Agrarian Reform and Natural Resources",Regions II & VI,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Second national Communications on Climate Change: Self Assessment Exercise ,UNDP,Climate Change Commission (GEF),0.7,0,4-Jun,12/31/2014,0,95.24,95.24,"Agriculture, Agrarian Reform and Natural Resources",National,Technical Assistance,Ongoing,Behind schedule,6/30/2014,6/30/2014
Implementation of Sustainable Development Strategy for Seas of East Asia ,UNDP,UNOPS Regional (GEF),27.59,2.59,7-Sep,12/31/2013,9.38,107.83,98.45,"Agriculture, Agrarian Reform and Natural Resources","East Asia - Cambodia, China,. Indonesia, Philippines, Korea, Thailand, Vietnam, Lao PDR, Timor Leste",Mixed,Closed,Completed,6/30/2014,6/30/2014
Sulu Celebes Seas Fisheries Management,UNDP,UNOPS Regional (GEF),2.41,0.45,9-Sep,12/31/2014,18.8,90.55,71.75,"Agriculture, Agrarian Reform and Natural Resources","Philippines, Malaysia, Indonesia",Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Supporting PEMSEA Resource Facility,UNDP,"UNDP (Governments of China, Japan and Korea)",1.48,1.02,7-Jan,12/31/2014,68.94,93.7,24.76,"Agriculture, Agrarian Reform and Natural Resources","East Asia - Cambodia, China,. Indonesia, Philippines, Korea, Thailand, Vietnam, Lao PDR, Timor Leste",Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Strengthening coordination for effective Environmental Management ,UNDP,Department of Environment and Natural Resources (GEF),0.48,0.46,9-Jun,14-Dec,96.18,90.98,-5.21,"Agriculture, Agrarian Reform and Natural Resources",National,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Samar Island Biodiversity Project ,UNDP,Department of Environment and Natural Resources-Biodiversity Management Bureau (GEF),13.13,3.75,2-May,11-Dec,28.55,125.83,97.28,"Agriculture, Agrarian Reform and Natural Resources",,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Expanding & Diversifying National System of Philippine Protected Areas ,UNDP,Department of Environment and Natural Resources-Biodiversity Management Bureau (GEF),3.5,3.1,9-Dec,14-Sep,88.68,96.37,7.69,"Agriculture, Agrarian Reform and Natural Resources","CAR, Region 1, Region 3, Region 4A, Region 4B, Region 7, Region 8, Region 10, Region 13",Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
5th Operational Phase of the GEF Small Grants Programme ,UNDP,Department of Environment and Natural Resources-Biodiversity Management Bureau (GEF),9.69,0.23,13-Jun,17-Jul,2.39,25.92,23.53,"Agriculture, Agrarian Reform and Natural Resources",,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
National Biodiversity Planning to Support the Implementation of the CBD 2011-2010 Strategic Plan ,UNDP,Department of Environment and Natural Resources-Biodiversity Management Bureau (GEF),0.22,0.21,13-Jan,15-Dec,96.38,51.22,-45.16,"Agriculture, Agrarian Reform and Natural Resources",National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Biodiversity Finance Initiative: Building Transformative Policy and Financing Frameworks to Increase Investment in Biodiversity Management,UNDP,Department of Environment and Natural Resources-Biodiversity Management Bureau (EC),0.47,0.05,1/1/2012,unknown,11.62,NA,NA,"Agriculture, Agrarian Reform and Natural Resources",National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Partnerships for Biodiversity Conservation ,UNDP,Department of Environment and Natural Resources-Biodiversity Management Bureau (GEF & FAO),4.78,2.61,10-Jun,16-Dec,54.66,62.74,8.07,"Agriculture, Agrarian Reform and Natural Resources",National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Best techniques and practices to Reduce Health Care waste ,UNDP,Department of Health (GEF),0.67,0.58,1/1/2008,12-Jun,86.76,147.06,60.29,"Agriculture, Agrarian Reform and Natural Resources",,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Hazard Mapping and assessment for Community-based Disaster Risk Management ,UNDP,Department of National Defense-Office of Civil Defense (Government of Australia),0.4,2.52,6-Jul,13-Dec,630.13,107.79,-522.35,"Agriculture, Agrarian Reform and Natural Resources",National,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Enhancing Greater Metro Manila's Institutional Capacities for Effective Disaster/Climate Risk Management ,UNDP,Department of National Defense-Office of Civil Defense (AUSAID),2.19,1.62,11-May,14-Jun,73.98,102.57,28.59,"Agriculture, Agrarian Reform and Natural Resources",NCR,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Capacity Development for Managing Disaster Risks from Natural Hazards and Climate Change in the Philippines Project,UNDP,Department of National Defense-Office of Civil Defense (UNDP) ,0.5,0.02,13-Oct,16-Oct,3.94,24.82,20.88,"Agriculture, Agrarian Reform and Natural Resources",National,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Integrating Disaster Risk Reduction and Climate Change Adaptation in Local Development Planning and Decision-Making Processes in the Philippines ,UNDP,National Economic and Development Authority -Regional Development Staff (Government of New Zealand & AUSAID),2.19,2.38,9-Jun,13-Dec,108.63,112.83,4.2,"Agriculture, Agrarian Reform and Natural Resources",,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
ScalingUp Risk Transfer Mechanisms for Climate Vulnerable Agriculture-based Communities in  Mindanao,UNDP,Department of Agriculture-Philippine Crop Insurance Corp. (GEF),17.3,0,20-Jun-12,1-Apr-17,0.01,42.38,42.37,"Agriculture, Agrarian Reform and Natural Resources",Mindanao,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Strengthening the Marine Protected Area System to Conserve Marine Key Biodiversity Areas,UNDP,Department of Environment and Natural Resources-Biodiversity Management Bureau (GEF),8,0.01,12-Jul,12/31/2019,0.08,26.62,26.53,"Agriculture, Agrarian Reform and Natural Resources",National,Technical Assistance,Ongoing,On schedule,6/30/2014,6/30/2014
Strengthening the National Peace Infrastructure,UNDP,Office of the Presidential Adviser on the Peace Process (UNDP),0.38,0.22,1/1/2012,12/31/2018,57.45,35.64,-21.81,Social Reform and Community Development,"National, CAR",Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
UNDP Response to Early Recovery of Typhoon affected areas in Mindanao (TY Bopha),UNDP,UNDP (DFAT),1.81,0.13,12-Dec,13-Dec,7.19,160.46,153.27,Social Reform and Community Development,Region II,Emergency,Ongoing,Behind schedule,6/30/2014,6/30/2014
Support to the Framework Agreement on the Bangsamoro (FASTRAC),UNDP,"UNDP (UNDP, Government of New Zealand, AUSAID)",1.1,0.64,4/1/2013,15-Mar,58.74,65.09,6.36,Social Reform and Community Development,ARMM,Technical Assistance,Ongoing,On schedule,6/30/2014,6/30/2014
Support to protection leading to rebuilding in Mindanao,UNDP,UNDP (Central Emergency Response Fund),0.2,0.15,10/1/2013,6/1/2014,75.13,111.93,36.81,Social Reform and Community Development,Central Mindanao,Emergency,Closed,Completed,6/30/2014,6/30/2014
Early Recovery-Zamboanga after the Stand-Off b/n the GPH and MNLF,UNDP,UNDP,0.06,0.02,10/1/2013,10/1/2014,35.72,74.52,38.8,Social Reform and Community Development,,Emergency,Ongoing,On schedule,6/30/2014,6/30/2014
Early Recovery-Affected Areas in Central Visayas  ,UNDP,UNDP,0.08,0.02,10/1/2013,10/1/2014,26.3,74.52,48.22,Social Reform and Community Development,Central Visayas,Emergency,Ongoing,On schedule,6/30/2014,6/30/2014
Debris management and livelihood for Bohol ,UNDP,UNDP (Government of Japan),0.8,0.77,11/1/2013,5/1/2014,95.88,133.15,37.27,Social Reform and Community Development,,Emergency,Closed,On schedule,6/30/2014,6/30/2014
Debris management and livelihood for Bohol ,UNDP,UNDP (DFAT-Australia),0.27,0.24,12/1/2013,6/1/2014,88.72,115.93,27.21,Social Reform and Community Development,,Emergency,Closed,On schedule,6/30/2014,6/30/2014
Assisting the Third Party Monitoring Team,UNDP,UNDP (European Commission),0.7,0.14,1/1/2014,7/1/2015,19.71,32.97,13.25,Social Reform and Community Development,ARMM,Technical Assistance,Ongoing,On schedule,6/30/2014,6/30/2014
Time-critical debris management in TY Haiyan areas,UNDP,"UNDP (Central Emergency Response Fund; Philippine Disaster Recover Foundation; Governments of Japan, Russia, Kuwait, Ecuador, Botswana)",6.63,6.54,13-Nov,14-Apr,98.72,159.6,60.88,Social Reform and Community Development,"Regions VI, VII & VIII",Emergency,Ongoing,On schedule,6/30/2014,6/30/2014
UNDP Response to Early Recovery,UNDP,UNDP ,0.1,0.19,13-Nov,14-Nov,188.38,66.03,-122.35,Social Reform and Community Development,"Regions VI, VII & VIII",Emergency,Ongoing,On schedule,6/30/2014,6/30/2014
Recovery and Resilience in Visayas,UNDP,"UNDP (UNICEF, Match Against Poverty, The World Federation of Khoja Shia Ithna-Asheri Muslim Communities, CNHI International S.A., UNDP Goodwill Ambassador Konno, Government of Japan)",12.76,5.44,1/1/2013,12/31/2017,42.64,29.86,-12.78,Social Reform and Community Development,"Regions VI, VII & VIII",Emergency,Ongoing,On schedule,6/30/2014,6/30/2014
Effective Management of TY Haiyan affected areas,UNDP,"UNDP (Fédération Internationale de Football Association, Adam Smith International )",0.33,0.16,1/1/2013,12/31/2014,49.47,74.76,25.29,Social Reform and Community Development,National,Emergency,Ongoing,On schedule,6/30/2014,6/30/2014
Engagement Facility (I),UNDP,UNDP ,1.16,0.06,1/1/2006,12/31/2016,5.56,77.22,71.66,Governance and Institutions Development,National ,Others,Ongoing,On schedule,6/30/2014,6/30/2014
Engagement Facility (II),UNDP,UNDP,0.17,0.03,9-Jan,12/31/2016,14.69,68.68,53.99,Governance and Institutions Development,National ,Others,Ongoing,On schedule,6/30/2014,6/30/2014
Sustaining the Effective and Efficient Official Development Assistance (ODA) Management & Monitoring,UNDP,National Economic and Development Authority-Public Investment Staff (UNDP & Western Union Foundation),0.33,0.23,1/1/2012,12/31/2016,70.04,49.89,-20.15,Governance and Institutions Development,National ,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Sustainable Management Highly Migratory Fish Stocks (Project Preparatory Grant),UNDP,UNDP (Global) (GEF),0.06,0,13-Mar,13-Dec,0,176.73,176.73,"Agriculture, Agrarian Reform and Natural Resources","Vietnam, Indonesia, Philippines",Technical Assistance,Closed,On schedule,6/30/2014,6/30/2014
Development for RE Applications Mainstreaming & Market Sustainability (Project Preparatory Grant),UNDP,UNDP (European Commission),0.1,0.02,1/1/2012,unknown,19.73,NA,NA,"Agriculture, Agrarian Reform and Natural Resources",National,Technical Assistance,Ongoing,On schedule,6/30/2014,6/30/2014
Promotion of Low Carbon Urban Transport System (Project Preparatory Grant),UNDP,UNDP (GEF),0.17,0,14-Jun,15-May,0,8.68,8.68,"Agriculture, Agrarian Reform and Natural Resources",National,Technical Assistance,Ongoing,On schedule,6/30/2014,6/30/2014
Implementation Sustainable Land Management Practices to Address Land Degradation and Mitigate Effects of Drought (Project Preparatory Grant),UNDP,UNDP (GEF),0.02,0,1-Jun-14,1-Feb-15,0,11.84,11.84,"Agriculture, Agrarian Reform and Natural Resources",National,Technical Assistance,Ongoing,Behind schedule,6/30/2014,6/30/2014
Indigenous Communities Conserved Areas (Project Preparatory Grant),UNDP,UNDP (GEF),0.08,0,1-Jun-14,1-Feb-15,0,11.84,11.84,"Agriculture, Agrarian Reform and Natural Resources",National,Technical Assistance,Ongoing,Behind schedule,6/30/2014,6/30/2014
,,,,,,,,,,,,,,,,
Performance of Active ODA Grant-Assisted Projects as of June 2014 ,,,,,,,,,,,,,,,,
